origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
"54","1",131.5649952,1417.5700484,2.4901629,1551.6252065
"54","3",131.5649952,931.6337101,3.4647261,1066.6634314
"54","16",131.5649952,1774.9501715,2.6653095,1909.1804761
"54","4",131.5649952,1661.0974787,0.4822301,1793.1447040
"54","10",131.5649952,1723.1231553,2.9794628,1857.6676132
"54","9",131.5649952,2695.6188840,2.8057399,2829.9896190
"54","12",131.5649952,2695.6188840,2.8057399,2829.9896190
"54","6",131.5649952,1370.2691928,0.6805221,1502.5147102
"54","8",131.5649952,1619.6789968,3.8251580,1755.0691499
"54","5",131.5649952,1793.7349969,5.3872645,1930.6872566
"54","7",131.5649952,1471.6559468,1.3512963,1604.5722383
"54","15",131.5649952,804.7777829,2.9353627,939.2781407
"54","2",131.5649952,1515.9227251,2.3642810,1649.8520012
"55","1",136.3683698,1504.5718845,2.4901629,1643.4304172
"55","3",136.3683698,1019.7206556,3.4647261,1159.5537515
"55","16",136.3683698,1861.9520075,2.6653095,2000.9856869
"55","4",136.3683698,1748.0993147,0.4822301,1884.9499147
"55","10",136.3683698,1810.1249913,2.9794628,1949.4728240
"55","9",136.3683698,2782.6207201,2.8057399,2921.7948298
"55","12",136.3683698,2782.6207201,2.8057399,2921.7948298
"55","6",136.3683698,1457.2710289,0.6805221,1594.3199209
"55","8",136.3683698,1706.6808329,3.8251580,1846.8743607
"55","5",136.3683698,1880.7368330,5.3872645,2022.4924673
"55","7",136.3683698,1558.6577829,1.3512963,1696.3774490
"55","15",136.3683698,890.5998653,2.9353627,1029.9035978
"55","2",136.3683698,1602.9245611,2.3642810,1741.6572120
"83","1",1.5028583,1292.7167853,2.4901629,1296.7098064
"83","3",1.5028583,652.3084231,3.4647261,657.2760075
"83","16",1.5028583,1650.0969083,2.6653095,1654.2650761
"83","4",1.5028583,1451.0771888,0.4822301,1453.0622772
"83","10",1.5028583,1519.4028692,2.9794628,1523.8851902
"83","9",1.5028583,2449.7981486,2.8057399,2454.1067467
"83","12",1.5028583,2449.7981486,2.8057399,2454.1067467
"83","6",1.5028583,1245.4159297,0.6805221,1247.5993101
"83","8",1.5028583,1494.8257336,3.8251580,1500.1537499
"83","5",1.5028583,1547.9142615,5.3872645,1554.8043843
"83","7",1.5028583,1235.2207042,1.3512963,1238.0748587
"83","15",1.5028583,703.2716316,2.9353627,707.7098525
"83","2",1.5028583,1391.0694619,2.3642810,1394.9366011
"84","1",14.2961908,1368.4694147,2.4901629,1385.2557684
"84","3",14.2961908,882.5330764,3.4647261,900.2939933
"84","16",14.2961908,1725.8495377,2.6653095,1742.8110381
"84","4",14.2961908,1611.9968449,0.4822301,1626.7752659
"84","10",14.2961908,1674.0225215,2.9794628,1691.2981752
"84","9",14.2961908,2646.5182503,2.8057399,2663.6201810
"84","12",14.2961908,2646.5182503,2.8057399,2663.6201810
"84","6",14.2961908,1321.1685591,0.6805221,1336.1452721
"84","8",14.2961908,1570.5783631,3.8251580,1588.6997119
"84","5",14.2961908,1744.6343632,5.3872645,1764.3178185
"84","7",14.2961908,1422.5553131,1.3512963,1438.2028002
