GID,X,Y,pop
54,-7.51249997,33.62916653,4463.68
55,-7.504166637,33.62916653,6811.0
83,-7.529166637,33.6208332,4262.32
84,-7.520833303,33.6208332,4704.03
85,-7.51249997,33.6208332,6238.65
86,-7.504166637,33.6208332,7396.54
87,-7.495833303,33.6208332,6676.37
110,-7.56249997,33.61249987,10898.7
111,-7.554166636,33.61249987,13364.4
112,-7.545833303,33.61249987,15078.7
113,-7.53749997,33.61249987,8712.83
114,-7.529166637,33.61249987,7212.43
115,-7.520833303,33.61249987,7956.87
116,-7.51249997,33.61249987,7957.42
117,-7.504166637,33.61249987,8574.4
118,-7.495833303,33.61249987,9779.13
119,-7.48749997,33.61249987,11009.6
120,-7.479166637,33.61249987,9176.97
130,-7.654166636,33.60416653,2687.28
131,-7.645833303,33.60416653,2495.72
132,-7.637499969,33.60416653,2749.34
133,-7.629166636,33.60416653,3435.51
134,-7.620833303,33.60416653,3507.79
135,-7.61249997,33.60416653,4229.41
136,-7.604166636,33.60416653,8811.67
138,-7.58749997,33.60416653,9851.19
139,-7.579166636,33.60416653,11236.4
140,-7.570833303,33.60416653,14554.6
141,-7.56249997,33.60416653,17086.6
142,-7.554166636,33.60416653,16470.9
143,-7.545833303,33.60416653,16203.0
144,-7.53749997,33.60416653,13279.1
145,-7.529166637,33.60416653,12085.9
146,-7.520833303,33.60416653,15430.1
147,-7.51249997,33.60416653,12478.1
148,-7.504166637,33.60416653,10316.3
149,-7.495833303,33.60416653,11612.3
150,-7.48749997,33.60416653,12132.6
158,-7.679166636,33.5958332,2454.28
159,-7.670833303,33.5958332,2530.2
160,-7.662499969,33.5958332,3140.32
161,-7.654166636,33.5958332,3378.71
162,-7.645833303,33.5958332,3131.78
163,-7.637499969,33.5958332,4357.23
164,-7.629166636,33.5958332,5326.74
165,-7.620833303,33.5958332,5010.77
166,-7.61249997,33.5958332,5632.13
167,-7.604166636,33.5958332,15355.8
168,-7.595833303,33.5958332,17521.1
